conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict
23,43008,73728,1792,256, ,0.100352,0.147456, ,6.857142857142857,8.0, ,6272,4608,2,1, ,48,2469,451584,0.2763251133786848,0.03486394557823129,124784,15744, ,451584.0,124784.0,489019.2, ,225792.0,62392.0,244509.6, ,112896.0,31196.0,122254.8, ,56448.0,15744.0,61171.2, , ,0.2763251133786848,0.2763251133786848,0.2763251133786848,0.2789115646258503, ,0.032195054918089105,0.06439010983617821,0.12878021967235642,0.2573760200878845
24,37632,40960,6272,1280, ,0.100352,0.065536, ,6.0,10.0, ,640,4096,1,10, ,60,1414,200704,0.5477120535714286,0.15178571428571427,109928,30464, ,200704.0,109928.0,233682.4, ,100352.0,54964.0,116841.2, ,50176.0,30464.0,59315.2, ,25088.0,30464.0,37990.4, , ,0.5477120535714286,0.5477120535714286,0.6071428571428571,1.2142857142857142, ,0.13036497399889765,0.2607299479977953,0.513595166163142,0.8018867924528301
25,100352,81920,3136,640, ,0.401408,0.131072, ,4.0,10.0, ,2560,8192,1,10, ,80,2317,401408,0.49302455357142855,0.05325255102040816,197904,21376, ,401408.0,197904.0,460779.2, ,200704.0,98952.0,230389.6, ,100352.0,49476.0,115194.8, ,50176.0,24738.0,57597.4, , ,0.49302455357142855,0.49302455357142855,0.49302455357142855,0.49302455357142855, ,0.04639098292631264,0.09278196585262528,0.18556393170525057,0.37112786341050114
26,107520,73728,896,128, ,0.200704,0.589824, ,8.571428571428571,2.0, ,12544,9216,4,1, ,64,2846,451584,0.41028911564625853,0.08886054421768708,185280,40128, ,451584.0,185280.0,507168.0, ,225792.0,92640.0,253584.0, ,112896.0,46320.0,126792.0, ,56448.0,40128.0,68486.4, , ,0.41028911564625853,0.41028911564625853,0.41028911564625853,0.7108843537414966, ,0.07912171114896839,0.15824342229793678,0.31648684459587356,0.5859265489206616
27,34496,49152,3328,768, ,0.050176,0.262144, ,11.0,3.0, ,1280,16384,1,3, ,33,2635,200704,0.49574996014030615,0.14795918367346939,99499,29696, ,200704.0,99499.0,230553.7, ,100352.0,49749.5,115276.85, ,50176.0,29696.0,59084.8, ,25088.0,29696.0,37222.4, , ,0.49574996014030615,0.49574996014030615,0.5918367346938775,1.183673469387755, ,0.12880296434192987,0.25760592868385973,0.5025996533795494,0.7977991746905089
28,401408,65536,3584,512, ,0.401408,0.524288, ,16.0,2.0, ,25088,2048,16,1, ,256,1838,401408,1.2034438775510203,0.17665816326530612,483072,70912, ,401408.0,483072.0,603494.4, ,200704.0,241536.0,301747.2, ,100352.0,120768.0,150873.6, ,50176.0,70912.0,85964.8, , ,1.2034438775510203,1.2034438775510203,1.2034438775510203,1.413265306122449, ,0.11750233307881564,0.23500466615763127,0.47000933231526254,0.824895771292436
29,50176,49152,832,192, ,0.200704,0.262144, ,4.0,3.0, ,5120,16384,1,3, ,36,2782,200704,0.5146285076530612,0.09821428571428571,103288,19712, ,200704.0,103288.0,231690.4, ,100352.0,51644.0,115845.2, ,50176.0,25822.0,57922.6, ,25088.0,19712.0,31001.6, , ,0.5146285076530612,0.5146285076530612,0.5146285076530612,0.7857142857142857, ,0.08507905377175748,0.17015810754351496,0.3403162150870299,0.6358381502890174
30,43008,73728,896,128, ,0.050176,0.589824, ,13.714285714285714,2.0, ,3136,9216,4,1, ,48,2450,451584,0.2673611111111111,0.08886054421768708,120736,40128, ,451584.0,120736.0,487804.8, ,225792.0,60368.0,243902.4, ,112896.0,40128.0,124934.4, ,56448.0,40128.0,68486.4, , ,0.2673611111111111,0.2673611111111111,0.3554421768707483,0.7108843537414966, ,0.08226241316198611,0.16452482632397222,0.3211925618564623,0.5859265489206616
31,34496,49152,3328,768, ,0.050176,0.262144, ,11.0,3.0, ,1280,16384,1,3, ,33,2635,200704,0.49574996014030615,0.14795918367346939,99499,29696, ,200704.0,99499.0,230553.7, ,100352.0,49749.5,115276.85, ,50176.0,29696.0,59084.8, ,25088.0,29696.0,37222.4, , ,0.49574996014030615,0.49574996014030615,0.5918367346938775,1.183673469387755, ,0.12880296434192987,0.25760592868385973,0.5025996533795494,0.7977991746905089
32,50176,49152,832,192, ,0.200704,0.262144, ,4.0,3.0, ,5120,16384,1,3, ,36,2782,200704,0.5146285076530612,0.09821428571428571,103288,19712, ,200704.0,103288.0,231690.4, ,100352.0,51644.0,115845.2, ,50176.0,25822.0,57922.6, ,25088.0,19712.0,31001.6, , ,0.5146285076530612,0.5146285076530612,0.5146285076530612,0.7857142857142857, ,0.08507905377175748,0.17015810754351496,0.3403162150870299,0.6358381502890174
