conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict
23,12544,10752,364,84, ,0.100352,0.057344, ,2.0,3.0, ,2560,3584,1,3, ,12,1971,43904,0.5699708454810496,0.2576530612244898,25024,11312, ,43904.0,25024.0,51411.2, ,21952.0,12512.0,25705.6, ,10976.0,11312.0,14604.8, ,5488.0,11312.0,12958.4, , ,0.5699708454810496,0.5699708454810496,1.030612244897959,2.061224489795918, ,0.22002987675837174,0.4400597535167435,0.7745398773006136,0.8729472774416595
24,5376,28224,784,112, ,0.021952,0.225792, ,3.9183673469387754,2.0, ,1372,4032,4,1, ,16,2149,172872,0.21477162293488825,0.09815354713313897,37128,16968, ,172872.0,37128.0,184010.4, ,86436.0,18564.0,92005.2, ,43218.0,16968.0,48308.4, ,21609.0,16968.0,26699.4, , ,0.21477162293488825,0.21477162293488825,0.39261418853255586,0.7852283770651117, ,0.09221217931160412,0.18442435862320825,0.3512432620413841,0.6355198993235802
25,6272,2048,78,24, ,0.100352,0.016384, ,1.0,2.0, ,2560,1024,1,3, ,4,2099,9408,0.9340986394557823,0.8197278911564626,8788,7712, ,9408.0,8788.0,12044.4, ,4704.0,7712.0,9123.2, ,2352.0,7712.0,8417.6, ,1176.0,7712.0,8064.8, , ,0.9340986394557823,1.6394557823129252,3.2789115646258504,6.557823129251701, ,0.6402975656736741,0.8453174324798316,0.9161756320091237,0.9562543398472374
26,384,2304,224,32, ,0.006272,0.013824, ,0.9795918367346939,2.6666666666666665, ,392,864,1,1, ,2,1456,10584,0.3492063492063492,0.15873015873015872,3696,1680, ,10584.0,3696.0,11692.8, ,5292.0,1848.0,5846.4, ,2646.0,1680.0,3150.0, ,1323.0,1680.0,2076.9, , ,0.3492063492063492,0.3492063492063492,0.6349206349206349,1.2698412698412698, ,0.14367816091954025,0.2873563218390805,0.5333333333333333,0.8088978766430738
27,6272,6144,208,48, ,0.100352,0.032768, ,1.0,3.0, ,2560,2048,1,3, ,6,2104,25088,0.5344387755102041,0.3647959183673469,13408,9152, ,25088.0,13408.0,29110.4, ,12544.0,9152.0,15289.6, ,6272.0,9152.0,11033.6, ,3136.0,9152.0,10092.8, , ,0.5344387755102041,0.7295918367346939,1.4591836734693877,2.9183673469387754, ,0.3143893591293833,0.5985768103809125,0.8294663573085846,0.9067850348763475
28,12544,12288,416,96, ,0.100352,0.065536, ,2.0,3.0, ,2560,4096,1,3, ,12,2104,50176,0.5344387755102041,0.23979591836734693,26816,12032, ,50176.0,26816.0,58220.8, ,25088.0,13408.0,29110.4, ,12544.0,12032.0,16153.6, ,6272.0,12032.0,13913.6, , ,0.5344387755102041,0.5344387755102041,0.9591836734693877,1.9183673469387754, ,0.20666153677036384,0.41332307354072767,0.7448494453248812,0.8647654093836247
29,12544,12288,416,96, ,0.100352,0.065536, ,2.0,3.0, ,2560,4096,1,3, ,12,2104,50176,0.5344387755102041,0.23979591836734693,26816,12032, ,50176.0,26816.0,58220.8, ,25088.0,13408.0,29110.4, ,12544.0,12032.0,16153.6, ,6272.0,12032.0,13913.6, , ,0.5344387755102041,0.5344387755102041,0.9591836734693877,1.9183673469387754, ,0.20666153677036384,0.41332307354072767,0.7448494453248812,0.8647654093836247
30,21504,36864,896,128, ,0.025088,0.294912, ,13.714285714285714,2.0, ,1568,4608,4,1, ,24,2469,225792,0.2763251133786848,0.09608843537414966,62392,21696, ,225792.0,62392.0,244509.6, ,112896.0,31196.0,122254.8, ,56448.0,21696.0,62956.8, ,28224.0,21696.0,34732.8, , ,0.2763251133786848,0.2763251133786848,0.3843537414965986,0.7687074829931972, ,0.08873271233522119,0.17746542467044238,0.3446172613601708,0.6246545052515201
31,6272,2048,78,24, ,0.100352,0.016384, ,1.0,2.0, ,2560,1024,1,3, ,4,2099,9408,0.9340986394557823,0.8197278911564626,8788,7712, ,9408.0,8788.0,12044.4, ,4704.0,7712.0,9123.2, ,2352.0,7712.0,8417.6, ,1176.0,7712.0,8064.8, , ,0.9340986394557823,1.6394557823129252,3.2789115646258504,6.557823129251701, ,0.6402975656736741,0.8453174324798316,0.9161756320091237,0.9562543398472374
32,384,2304,224,32, ,0.006272,0.013824, ,0.9795918367346939,2.6666666666666665, ,392,864,1,1, ,2,1456,10584,0.3492063492063492,0.15873015873015872,3696,1680, ,10584.0,3696.0,11692.8, ,5292.0,1848.0,5846.4, ,2646.0,1680.0,3150.0, ,1323.0,1680.0,2076.9, , ,0.3492063492063492,0.3492063492063492,0.6349206349206349,1.2698412698412698, ,0.14367816091954025,0.2873563218390805,0.5333333333333333,0.8088978766430738
